Cards Suited Num pla. Prob
0 5 1 10 3.251948521156638E-9
0 6 0 0 0.0
0 6 0 1 0.0
0 6 0 2 0.4164
0 6 0 3 0.07033104
0 6 0 4 0.007774159141
0 6 0 5 6.635904800625001E-4
0 6 0 6 2.3863536598999994E-5
0 6 0 7 9.88059840239808E-7
0 6 0 8 3.594149992919509E-8
0 6 0 9 1.1013724460214245E-9
0 6 0 10 2.7574184777814958E-11
0 6 1 0 0.0
0 6 1 1 0.0
0 6 1 2 0.4585
0 6 1 3 0.09308600999999998
0 6 1 4 0.013011038207999998
0 6 1 5 0.0016096216216081002
0 6 1 6 1.4792926108673823E-4
0 6 1 7 1.3867245015625E-5
0 6 1 8 1.210869812214901E-6
0 6 1 9 7.11617845614107E-8
0 6 1 10 2.0495386359137858E-9
0 7 0 0 0.0
0 7 0 1 0.0
0 7 0 2 0.4505
0 7 0 3 0.07209225000000001
0 7 0 4 0.008552241124999999
0 7 0 5 6.407383500960999E-4
0 7 0 6 3.0517578125E-5
0 7 0 7 1.2507891954619447E-6
0 7 0 8 6.436638904125566E-8
0 7 0 9 8.799356122722123E-10
0 7 0 10 4.527058604586235E-11
0 7 1 0 0.0
0 7 1 1 0.0
0 7 1 2 0.4771
0 7 1 3 0.10523536000000001
0 7 1 4 0.014652168623
0 7 1 5 0.0017183478927616002
0 7 1 6 1.717724445198858E-4
0 7 1 7 2.0924183895616005E-5
0 7 1 8 1.511758379963057E-6
0 7 1 9 1.3461353246875938E-7
0 7 1 10 5.770142004982096E-9
0 8 0 0 0.0
0 8 0 1 0.0
0 8 0 2 0.4723
0 8 0 3 0.08649480999999998
0 8 0 4 0.009367243711999998
0 8 0 5 7.502257950625002E-4
0 8 0 6 4.843811946055851E-5
0 8 0 7 2.2652060129763377E-6
0 8 0 8 1.370003862938392E-7
0 8 0 9 2.1460092441421516E-9
0 8 0 10 8.06670471133538E-11
0 8 1 0 0.0
0 8 1 1 0.0
0 8 1 2 0.4915
0 8 1 3 0.11102224
0 8 1 4 0.016737925112000007
