Cards  Prob
0 8 0.0
0 8 0.0
0 8 0.24552025
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 8 0.0
0 9 0.0
0 9 0.0
0 9 0.27520515999999995
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 9 0.0
0 10 0.0
0 10 0.0
0 10 0.29311396
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 10 0.0
0 11 0.0
0 11 0.0
0 11 0.32444416
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 11 0.0
0 12 0.0
0 12 0.0
0 12 0.37920964
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 12 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
0 13 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 0 0.0
1 1 0.0
1 1 0.0
1 1 0.37307664
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 1 0.0
1 2 0.0
1 2 0.0
1 2 0.19070689
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 2 0.0
1 3 0.0
1 3 0.0
1 3 0.20620681
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 3 0.0
1 4 0.0
1 4 0.0
1 4 0.20007729
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
1 4 0.0
